artist_from,artist_to,from,to
0VLMVnVbJyJ4oyZs2L3Yl2,1iQSfAaT7W2KQzAq37HRpf,Las Viudas De Los Bisabuelos,Los Que Salimos Por Gusto
0VLMVnVbJyJ4oyZs2L3Yl2,5DmGsfNDvTcoJA7SR092aR,Las Viudas De Los Bisabuelos,Los Arapajoes Que Joe
0VLMVnVbJyJ4oyZs2L3Yl2,0pGhoB99qpEJEsBQxgaskQ,Las Viudas De Los Bisabuelos,Los “Pofesionales”
0VLMVnVbJyJ4oyZs2L3Yl2,4HYb8tOV3neg8JMklbQIaW,Las Viudas De Los Bisabuelos,"Los del Planeta Rojo, Pero Rojo, Rojo"
0VLMVnVbJyJ4oyZs2L3Yl2,0OSGasYpFS2fqrVaFNfJic,Las Viudas De Los Bisabuelos,Los De Gris
0VLMVnVbJyJ4oyZs2L3Yl2,0Nemf4TBQz130rW50aV844,Las Viudas De Los Bisabuelos,Ay! Que Malito Estoy Y Que Poquito Me Quejo
0dt23bs4w8zx154C5xdVyl,6yJIuZFLnlAe47DKobH45J,Los De Capuchinos,"Tampax Goyesca, Comparsa Fina Y Segura"
0dt23bs4w8zx154C5xdVyl,0Ik0N7B22ry8BvdxvDGnG0,Los De Capuchinos,Las Pito Risas
0dt23bs4w8zx154C5xdVyl,7mCB2ez7kzv32Yuds8ltlL,Los De Capuchinos,Los Aguafiestas
0dt23bs4w8zx154C5xdVyl,5YpG4yABnjezWZ4ugXZoMP,Los De Capuchinos,Los Juancojones
0dt23bs4w8zx154C5xdVyl,3HDrX2OtSuXLW5dLR85uN3,Los De Capuchinos,Los Que No Paran De Rajar
0dt23bs4w8zx154C5xdVyl,5DmGsfNDvTcoJA7SR092aR,Los De Capuchinos,Los Arapajoes Que Joe
0dt23bs4w8zx154C5xdVyl,4sBmoMtQBJXQMIxYwuLR5I,Los De Capuchinos,"Los Pavos Reales, Una Especie En Extinción"
0dt23bs4w8zx154C5xdVyl,0pGhoB99qpEJEsBQxgaskQ,Los De Capuchinos,Los “Pofesionales”
0dt23bs4w8zx154C5xdVyl,5qr3WvyioJJApp99FFfqob,Los De Capuchinos,Ricas Y Maduras
0dt23bs4w8zx154C5xdVyl,0muEwnW8BH3RXdGnQyxEyo,Los De Capuchinos,"Salón De Belleza “El Tijeritas"""
0dt23bs4w8zx154C5xdVyl,4tkGMeZkhOXyk4U9RzvP14,Los De Capuchinos,Una Chirigota Con Clase
0dt23bs4w8zx154C5xdVyl,0zMJmvs0RriumGJSAiduOw,Los De Capuchinos,Los Puretas Del Caribe
0dt23bs4w8zx154C5xdVyl,3gLOOsBrd2RJnDDXXLVgQv,Los De Capuchinos,Los Juan Palomez
0dt23bs4w8zx154C5xdVyl,5EFuj9hXUCd4Gqs1vR8oUI,Los De Capuchinos,"Los Príncipes Encantados, Gracias Igualmente"
0dt23bs4w8zx154C5xdVyl,2xLXLQHK0IWHZs2QtZmPYG,Los De Capuchinos,El Que La Lleva La Entiende
0dt23bs4w8zx154C5xdVyl,0VLMVnVbJyJ4oyZs2L3Yl2,Los De Capuchinos,Las Viudas De Los Bisabuelos
0dt23bs4w8zx154C5xdVyl,5QNqh0mFcqoGsdzHGMvT1u,Los De Capuchinos,Los Superpop
0dt23bs4w8zx154C5xdVyl,1iQSfAaT7W2KQzAq37HRpf,Los De Capuchinos,Los Que Salimos Por Gusto
0dt23bs4w8zx154C5xdVyl,0OSGasYpFS2fqrVaFNfJic,Los De Capuchinos,Los De Gris
0dt23bs4w8zx154C5xdVyl,5miZb7rLRNlv5NF8meLgOk,Los De Capuchinos,Los Lacios
0pGhoB99qpEJEsBQxgaskQ,5YpG4yABnjezWZ4ugXZoMP,Los “Pofesionales”,Los Juancojones
0pGhoB99qpEJEsBQxgaskQ,5qr3WvyioJJApp99FFfqob,Los “Pofesionales”,Ricas Y Maduras
0pGhoB99qpEJEsBQxgaskQ,0zMJmvs0RriumGJSAiduOw,Los “Pofesionales”,Los Puretas Del Caribe
0pGhoB99qpEJEsBQxgaskQ,0Ik0N7B22ry8BvdxvDGnG0,Los “Pofesionales”,Las Pito Risas
0pGhoB99qpEJEsBQxgaskQ,4sBmoMtQBJXQMIxYwuLR5I,Los “Pofesionales”,"Los Pavos Reales, Una Especie En Extinción"
0pGhoB99qpEJEsBQxgaskQ,5DmGsfNDvTcoJA7SR092aR,Los “Pofesionales”,Los Arapajoes Que Joe
0pGhoB99qpEJEsBQxgaskQ,0dt23bs4w8zx154C5xdVyl,Los “Pofesionales”,Los De Capuchinos
0pGhoB99qpEJEsBQxgaskQ,4tkGMeZkhOXyk4U9RzvP14,Los “Pofesionales”,Una Chirigota Con Clase
0pGhoB99qpEJEsBQxgaskQ,6yJIuZFLnlAe47DKobH45J,Los “Pofesionales”,"Tampax Goyesca, Comparsa Fina Y Segura"
0pGhoB99qpEJEsBQxgaskQ,0muEwnW8BH3RXdGnQyxEyo,Los “Pofesionales”,"Salón De Belleza “El Tijeritas"""
0pGhoB99qpEJEsBQxgaskQ,2xLXLQHK0IWHZs2QtZmPYG,Los “Pofesionales”,El Que La Lleva La Entiende
0pGhoB99qpEJEsBQxgaskQ,5miZb7rLRNlv5NF8meLgOk,Los “Pofesionales”,Los Lacios
0pGhoB99qpEJEsBQxgaskQ,0kUOWn0L2EWAbaBTVfeYtc,Los “Pofesionales”,Lo Que Diga Mi Mujer
0pGhoB99qpEJEsBQxgaskQ,1iQSfAaT7W2KQzAq37HRpf,Los “Pofesionales”,Los Que Salimos Por Gusto
0pGhoB99qpEJEsBQxgaskQ,7mCB2ez7kzv32Yuds8ltlL,Los “Pofesionales”,Los Aguafiestas
0pGhoB99qpEJEsBQxgaskQ,0VLMVnVbJyJ4oyZs2L3Yl2,Los “Pofesionales”,Las Viudas De Los Bisabuelos
0pGhoB99qpEJEsBQxgaskQ,3HDrX2OtSuXLW5dLR85uN3,Los “Pofesionales”,Los Que No Paran De Rajar
0pGhoB99qpEJEsBQxgaskQ,3gLOOsBrd2RJnDDXXLVgQv,Los “Pofesionales”,Los Juan Palomez
0pGhoB99qpEJEsBQxgaskQ,0OSGasYpFS2fqrVaFNfJic,Los “Pofesionales”,Los De Gris
0pGhoB99qpEJEsBQxgaskQ,0Nemf4TBQz130rW50aV844,Los “Pofesionales”,Ay! Que Malito Estoy Y Que Poquito Me Quejo
3HDrX2OtSuXLW5dLR85uN3,6yJIuZFLnlAe47DKobH45J,Los Que No Paran De Rajar,"Tampax Goyesca, Comparsa Fina Y Segura"
3HDrX2OtSuXLW5dLR85uN3,5QNqh0mFcqoGsdzHGMvT1u,Los Que No Paran De Rajar,Los Superpop
3HDrX2OtSuXLW5dLR85uN3,0Ik0N7B22ry8BvdxvDGnG0,Los Que No Paran De Rajar,Las Pito Risas
3HDrX2OtSuXLW5dLR85uN3,0VLMVnVbJyJ4oyZs2L3Yl2,Los Que No Paran De Rajar,Las Viudas De Los Bisabuelos
3HDrX2OtSuXLW5dLR85uN3,0muEwnW8BH3RXdGnQyxEyo,Los Que No Paran De Rajar,"Salón De Belleza “El Tijeritas"""
3HDrX2OtSuXLW5dLR85uN3,0zMJmvs0RriumGJSAiduOw,Los Que No Paran De Rajar,Los Puretas Del Caribe
3HDrX2OtSuXLW5dLR85uN3,4tkGMeZkhOXyk4U9RzvP14,Los Que No Paran De Rajar,Una Chirigota Con Clase
3HDrX2OtSuXLW5dLR85uN3,5miZb7rLRNlv5NF8meLgOk,Los Que No Paran De Rajar,Los Lacios
3HDrX2OtSuXLW5dLR85uN3,0dt23bs4w8zx154C5xdVyl,Los Que No Paran De Rajar,Los De Capuchinos
3HDrX2OtSuXLW5dLR85uN3,1iQSfAaT7W2KQzAq37HRpf,Los Que No Paran De Rajar,Los Que Salimos Por Gusto
3HDrX2OtSuXLW5dLR85uN3,7mCB2ez7kzv32Yuds8ltlL,Los Que No Paran De Rajar,Los Aguafiestas
3HDrX2OtSuXLW5dLR85uN3,5Jom56fA36Ebl5YjdVc1EM,Los Que No Paran De Rajar,Los de Cádiz Norte
3HDrX2OtSuXLW5dLR85uN3,5qr3WvyioJJApp99FFfqob,Los Que No Paran De Rajar,Ricas Y Maduras
3HDrX2OtSuXLW5dLR85uN3,4sBmoMtQBJXQMIxYwuLR5I,Los Que No Paran De Rajar,"Los Pavos Reales, Una Especie En Extinción"
3HDrX2OtSuXLW5dLR85uN3,0OSGasYpFS2fqrVaFNfJic,Los Que No Paran De Rajar,Los De Gris
3HDrX2OtSuXLW5dLR85uN3,2xLXLQHK0IWHZs2QtZmPYG,Los Que No Paran De Rajar,El Que La Lleva La Entiende
3HDrX2OtSuXLW5dLR85uN3,5DmGsfNDvTcoJA7SR092aR,Los Que No Paran De Rajar,Los Arapajoes Que Joe
3HDrX2OtSuXLW5dLR85uN3,0Nemf4TBQz130rW50aV844,Los Que No Paran De Rajar,Ay! Que Malito Estoy Y Que Poquito Me Quejo
3HDrX2OtSuXLW5dLR85uN3,4HYb8tOV3neg8JMklbQIaW,Los Que No Paran De Rajar,"Los del Planeta Rojo, Pero Rojo, Rojo"
3HDrX2OtSuXLW5dLR85uN3,6mWHYvSU9NCy2hTlDhfRfJ,Los Que No Paran De Rajar,Esto Sí Que Es Una Chirigota
22mLrN5fkppmuUPsHx6i2G,3NhV0B71sAoZu1FGHG4bK4,Vera Dulova,Orquestra Sinfônica Do Estado De São Paulo
22mLrN5fkppmuUPsHx6i2G,04jItOTRWnT2GWXLjCEWjP,Vera Dulova,Marc Francois Marcel Hebbelinck
22mLrN5fkppmuUPsHx6i2G,52rqtO4q5VcEEnvxP9wvrr,Vera Dulova,Kelly-Marie Murphy
22mLrN5fkppmuUPsHx6i2G,3nt4PBXVgQyj0KQHeE7tR4,Vera Dulova,Ann Griffiths
22mLrN5fkppmuUPsHx6i2G,23OtctXQsEX9vMDXWsbkOH,Vera Dulova,Bell' Alma Duo
22mLrN5fkppmuUPsHx6i2G,4F7cB7zy5Zlp7BD4JkHBk8,Vera Dulova,Charlotte Balzereit
22mLrN5fkppmuUPsHx6i2G,49D1IR6pSVdJMjbPxbFOdM,Vera Dulova,Alice Giles
22mLrN5fkppmuUPsHx6i2G,7LxqmaZTAxTX9j1TYe07rn,Vera Dulova,Roxanna Panufnik
22mLrN5fkppmuUPsHx6i2G,0LicvqvKwgCksrsaeRLAQN,Vera Dulova,Sylvain Blassel
22mLrN5fkppmuUPsHx6i2G,0h0b1slt8v7G6DAzjgxJyJ,Vera Dulova,Masumi Nagasawa
22mLrN5fkppmuUPsHx6i2G,4U8OxAMZBtpHRN33jsPCdV,Vera Dulova,Chantal Mathieu
22mLrN5fkppmuUPsHx6i2G,2CFJk1tDZZ10C0llah9t39,Vera Dulova,David Watkins
22mLrN5fkppmuUPsHx6i2G,5GrhvTmk0yoCSmQgDKk4CR,Vera Dulova,Elizabeth Hainen
22mLrN5fkppmuUPsHx6i2G,0FarJBdq0gWtF4WtodW4Ap,Vera Dulova,Inge Frimout-Hei
22mLrN5fkppmuUPsHx6i2G,2VIYBMyLqKkAKUdnguo32b,Vera Dulova,"Jef Gilson & ""Malagasy"""
22mLrN5fkppmuUPsHx6i2G,1EelcDEygYtkxrPAAK1vG0,Vera Dulova,Erica Goodman
22mLrN5fkppmuUPsHx6i2G,7a3J8oxUOew9L2XQwCkxnf,Vera Dulova,Marielle Nordmann
22mLrN5fkppmuUPsHx6i2G,4QVLmwlWR5c7rEMgSA1mYd,Vera Dulova,Javier Sáinz
22mLrN5fkppmuUPsHx6i2G,6xGtDuCCk4xzeKEM6jxuJx,Vera Dulova,Noelle Cassandra
22mLrN5fkppmuUPsHx6i2G,4loSUBD9j7WHcVK9BATQGJ,Vera Dulova,Alison Nicholls
1OCPhFtvkZDLUJJkrJfD2G,1Ml4OuStDoympbREURAM15,The De Castro Sisters,The Fontane Sisters
1OCPhFtvkZDLUJJkrJfD2G,6Gsao94MioGNcDLFGFAlw7,The De Castro Sisters,The King Sisters
1OCPhFtvkZDLUJJkrJfD2G,1ZjqNlz7zvDQs44r6l9M3j,The De Castro Sisters,Gisele MacKenzie
1OCPhFtvkZDLUJJkrJfD2G,6oXkzBf6bMupenvf4tKtmN,The De Castro Sisters,The McGuire Sisters
1OCPhFtvkZDLUJJkrJfD2G,0uQXiLK3wKmucUs9fAKx4I,The De Castro Sisters,Helen O'Connell
1OCPhFtvkZDLUJJkrJfD2G,5H2SmWlJAuebbHm6gzVq80,The De Castro Sisters,Gale Storm
1OCPhFtvkZDLUJJkrJfD2G,6qcybypxBn4XlMcYJHhViw,The De Castro Sisters,The Hilltoppers
1OCPhFtvkZDLUJJkrJfD2G,6E8uXyNsUKeGOgRqAOcgBa,The De Castro Sisters,Georgia Gibbs
1OCPhFtvkZDLUJJkrJfD2G,3stlWzoChlEtbdZAz6CNC3,The De Castro Sisters,The Four Lads
1OCPhFtvkZDLUJJkrJfD2G,60JUOTnRuDTetm7Hiwonev,The De Castro Sisters,Dickie Valentine
1OCPhFtvkZDLUJJkrJfD2G,7rpf45DdbpweG51Acze45i,The De Castro Sisters,Kay Starr
1OCPhFtvkZDLUJJkrJfD2G,4oXaAEofJFedGweFqy5qiv,The De Castro Sisters,The Ames Brothers
1OCPhFtvkZDLUJJkrJfD2G,0qGFARKf4pfodYjZbj5N4v,The De Castro Sisters,Ella Mae Morse
1OCPhFtvkZDLUJJkrJfD2G,5ZGDxHhju6eE8ja4IyGe87,The De Castro Sisters,Margaret Whiting
1OCPhFtvkZDLUJJkrJfD2G,73xrrv4ZrlpLi1q0Q34wiK,The De Castro Sisters,Dinah Shore
1OCPhFtvkZDLUJJkrJfD2G,0V05eHcONaDJC1HumT0img,The De Castro Sisters,Martha Tilton
1OCPhFtvkZDLUJJkrJfD2G,1Ug1gaXH8V5vrIHNyOTXrh,The De Castro Sisters,Anne Shelton
1OCPhFtvkZDLUJJkrJfD2G,3BiJGZsyX9sJchTqcSA7Su,The De Castro Sisters,Dick Haymes
1OCPhFtvkZDLUJJkrJfD2G,2NbPfkf3TYSRoJ64inF0AN,The De Castro Sisters,The Poni-Tails
1OCPhFtvkZDLUJJkrJfD2G,2mPL4g4v9DS55zi6QctLbP,The De Castro Sisters,Teresa Brewer
4PiJnql6Z3yQ1okaLjPHpD,4OCeHEXflasM9FzPyZCb3K,Orchestra Sinfonica,Wilhelm Ohmen
4PiJnql6Z3yQ1okaLjPHpD,2gHf3hZx3Mihg2QqjOOAzu,Orchestra Sinfonica,Michael Poss
4PiJnql6Z3yQ1okaLjPHpD,44nKzXJriXTWzrK1UVAybK,Orchestra Sinfonica,Prandi Sound
4PiJnql6Z3yQ1okaLjPHpD,6YWD31XpCDreL58n8R8JRm,Orchestra Sinfonica,Paola Fabris
4PiJnql6Z3yQ1okaLjPHpD,0gvNzwhQ3HjbjYk0q4x4wM,Orchestra Sinfonica,Orquesta Alec Medina
4PiJnql6Z3yQ1okaLjPHpD,1jYzw8FeJ0nLL5EbVKcgy1,Orchestra Sinfonica,Simon Sparks
4PiJnql6Z3yQ1okaLjPHpD,1FzFWjJ8mZ8T5MkieI5iqa,Orchestra Sinfonica,Claudio Novelli
4PiJnql6Z3yQ1okaLjPHpD,3RwqwWXL90ouxT3LoPlinw,Orchestra Sinfonica,Das Wiener Unterhaltungsorchester
4PiJnql6Z3yQ1okaLjPHpD,3PaGoeMZZCjWWF1l1g6g4n,Orchestra Sinfonica,The Arthur Murray TV Dance Orchestra
4PiJnql6Z3yQ1okaLjPHpD,3UFN5wfEHS28Hxgp8xsBbn,Orchestra Sinfonica,Malando & His Tango Orchestra
4PiJnql6Z3yQ1okaLjPHpD,6dPCvOHVicRvLl7eFYFULB,Orchestra Sinfonica,Riccardo Doppio
4PiJnql6Z3yQ1okaLjPHpD,1mO4pzEojL8iYqikMWsLEJ,Orchestra Sinfonica,Arthur Murray Orchestra
4PiJnql6Z3yQ1okaLjPHpD,6eNcMRdnSlq388y4iL2VIU,Orchestra Sinfonica,Giorgia Gazzola
4PiJnql6Z3yQ1okaLjPHpD,7fBkOe4oF58Pot01KmtULR,Orchestra Sinfonica,Sandro Giorgetti
4PiJnql6Z3yQ1okaLjPHpD,0FN2vE6OGrFk4KsV9JC5IV,Orchestra Sinfonica,Gente de Noantri
4PiJnql6Z3yQ1okaLjPHpD,7JZ5d3Y8eptxdLlojlWmgY,Orchestra Sinfonica,Rodolfo Guerra Y su Sincopata Latina
4PiJnql6Z3yQ1okaLjPHpD,1iXrDoCTfkeCK4QEp2La6U,Orchestra Sinfonica,John Oakley
4PiJnql6Z3yQ1okaLjPHpD,3iXAF0svdzF5DYb00gwCkG,Orchestra Sinfonica,Anacapri Band Orchestra
4PiJnql6Z3yQ1okaLjPHpD,1SOYP8EtJntGsM6ViQAiaL,Orchestra Sinfonica,Tangozo
4PiJnql6Z3yQ1okaLjPHpD,3wytwlzMQDno1rB4UouMDg,Orchestra Sinfonica,The Arthur Murray Orchestra
1OsJZxSshQD4BCg1VtwxsN,1lNeV1qtmxOGGgXN6B7cWH,Anna Larsson,Susan Dunn
1OsJZxSshQD4BCg1VtwxsN,1V2CUDxo3SJnjtx6DsThg4,Anna Larsson,Johan Reuter
1OsJZxSshQD4BCg1VtwxsN,0DX4vAO3I8ObqHKrw72E7f,Anna Larsson,Lucerne Festival Orchestra
1OsJZxSshQD4BCg1VtwxsN,5b9OcWY9OSX31iaoUaQFyn,Anna Larsson,Twyla Robinson
1OsJZxSshQD4BCg1VtwxsN,0K6ufQj8JzIZPPkvZrEwJS,Anna Larsson,Swedish Radio Symphony Orchestra
1OsJZxSshQD4BCg1VtwxsN,7iCt7S7BwQ55B50UWpFuS8,Anna Larsson,Norrköping Symphony Orchestra
1OsJZxSshQD4BCg1VtwxsN,0reEj3pa0lTG2gOkj9BoPb,Anna Larsson,Christian Gerhaher
1OsJZxSshQD4BCg1VtwxsN,3nalSUqHvdBGqIOjNqpzv9,Anna Larsson,Gustav Mahler Jugendorchester
1OsJZxSshQD4BCg1VtwxsN,3cIWHqPpISC5EEufjJQ5Yh,Anna Larsson,Erin Wall
1OsJZxSshQD4BCg1VtwxsN,3rwr89g0JzQsjz9XNZog2E,Anna Larsson,North German Radio Philharmonic Orchestra
1OsJZxSshQD4BCg1VtwxsN,4E4J9xRzeExDw9AnGqOXqN,Anna Larsson,Ulf Wallin
1OsJZxSshQD4BCg1VtwxsN,6wuudWq7XpVutoFp4bsVDo,Anna Larsson,City Of Birmingham Symphony Orchestra
1OsJZxSshQD4BCg1VtwxsN,5ReJ3PmNZvUPfeHpqPW6KK,Anna Larsson,Örebro Chamber Orchestra
1OsJZxSshQD4BCg1VtwxsN,2OSNMmbTJZZ1k7hIUCxlsY,Anna Larsson,Dorothea Röschmann
1OsJZxSshQD4BCg1VtwxsN,0zlZCydBni2a9pDgdNMoYy,Anna Larsson,Michael Schade
1OsJZxSshQD4BCg1VtwxsN,1mlMBjVFn5oeZLAXHIM5no,Anna Larsson,Swedish Chamber Orchestra
1OsJZxSshQD4BCg1VtwxsN,6hUUtss2kSQ9CEr9UQU0w0,Anna Larsson,Amus Kerstin Andersson
1OsJZxSshQD4BCg1VtwxsN,0WzQVwB2fINTjeM8wN3jhE,Anna Larsson,Stuart Skelton
1OsJZxSshQD4BCg1VtwxsN,2uuAaf6yCHYDZDVCdMUlA3,Anna Larsson,Klaus Tennstedt
1OsJZxSshQD4BCg1VtwxsN,5HRZLLjW8jC4Kqte3nptim,Anna Larsson,Violeta Urmana
5JRTWjFYThNR99D7IOEmn0,79XphVSh30hNS2K5uisYrF,BBC Chorus,Anja Silja
5JRTWjFYThNR99D7IOEmn0,23BiSNXm5UaRFuusoWisYO,BBC Chorus,BBC Symphony Orchestra
5JRTWjFYThNR99D7IOEmn0,4vwjX6wY3JStfrFdnahxaR,BBC Chorus,Martti Talvela
5JRTWjFYThNR99D7IOEmn0,7GqzUP7TApb2wPZ7pxlDeN,BBC Chorus,Theo Adam
5JRTWjFYThNR99D7IOEmn0,11vpC3XmFb1LIP2ugl96lZ,BBC Chorus,New Philharmonia Orchestra
5JRTWjFYThNR99D7IOEmn0,2chaLfJbgV7JXLDWyhIU8R,BBC Chorus,Alexandre Paley
5JRTWjFYThNR99D7IOEmn0,6f0ZL3mEG76EVXcUk8eEXL,BBC Chorus,Saskia Giorgini
5JRTWjFYThNR99D7IOEmn0,7KKscZTeDLz1g0QthWCMQV,BBC Chorus,George Enescu
5JRTWjFYThNR99D7IOEmn0,5e6Q6t65r3OujvJ1gDRi5o,BBC Chorus,Alexandra Vaduva
5JRTWjFYThNR99D7IOEmn0,6c8255uK9vZp7rB1vfcyt5,BBC Chorus,Bayreuth Festival Chorus
5JRTWjFYThNR99D7IOEmn0,2kyVgTTriW7eUjvezcTV85,BBC Chorus,Last Night Of The Proms - The 100th Season
